Número;Mailing;Operador;CNPJ;RAZAO_SOCIAL;"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
31971532865;01-Recadastro_02-03;;37295891000160;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
18997427199;01-Recadastro_02-03;;31659930000185;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
81996709593;01-Recadastro_02-03;;61628641000180;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
16988040296;01-Recadastro_02-03;;33655617000102;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:16"
19991474636;01-Recadastro_02-03;;37468732000110;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
11975008204;01-Recadastro_02-03;;09296665000169;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
14991689815;01-Recadastro_02-03;;37966685000135;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
74998116240;01-Recadastro_02-03;;62268140000100;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
66999862262;01-Recadastro_02-03;"Carla Cristina de Lima Kauffmann";62054401000181;RECADASTRO;;Não;"Em Fila";Improdutiva;"QUEDA DE LIGACAO";"02/03/2026 16:08:16"
54999467514;01-Recadastro_02-03;;62146800000172;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
22988057811;01-Recadastro_02-03;;63811532000200;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
47999042486;01-Recadastro_02-03;;63997291000154;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
19989143763;01-Recadastro_02-03;;62282514000134;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:16"
35999529953;01-Recadastro_02-03;;11289274000169;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
82993627424;01-Recadastro_02-03;;37968677000128;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
18997157322;01-Recadastro_02-03;;29055853000102;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:16"
43996579923;01-Recadastro_02-03;;38441353000108;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
